date;Italy;US;India;Germany;Korea, South
2020-04-26;197675;968518;27890;157770;10738
2020-04-27;199414;990983;29451;158758;10752
2020-04-28;201505;1015518;31324;159912;10761
2020-04-29;203591;1043038;33062;161539;10765
2020-04-30;205463;1072667;34863;163009;10774
2020-05-01;207428;1106829;37257;164077;10780
2020-05-02;209328;1136024;39699;164967;10793
2020-05-03;210717;1161611;42505;165664;10801
2020-05-04;211938;1184086;46437;166152;10804
2020-05-05;213013;1208271;49400;167007;10806
2020-05-06;214457;1233527;52987;168162;10810
2020-05-07;215858;1261409;56351;169430;10822
2020-05-08;217185;1288587;59695;170588;10840
2020-05-09;218268;1314320;62808;171324;10874
2020-05-10;219070;1334084;67161;171879;10909
2020-05-11;219814;1352962;70768;172576;10936
2020-05-12;221216;1375152;74292;173171;10962
2020-05-13;222104;1396110;78055;174098;10991
2020-05-14;223096;1423727;81997;174478;11018
2020-05-15;223885;1449027;85784;175233;11037
2020-05-16;224760;1474128;90648;175752;11050
2020-05-17;225435;1493132;95698;176369;11065
2020-05-18;225886;1514901;100328;176551;11078
2020-05-19;226699;1535350;106475;177778;11110
2020-05-20;227364;1559157;112028;178473;11122
2020-05-21;228006;1584512;118226;179021;11142
2020-05-22;228658;1608653;124794;179710;11165
2020-05-23;229327;1630476;131423;179986;11190
2020-05-24;229858;1651289;138536;180328;11206
2020-05-25;230158;1670280;144950;180600;11225
2020-05-26;230555;1689163;150793;181200;11265
2020-05-27;231139;1707445;158086;181524;11344
2020-05-28;231732;1730260;165386;182196;11402
2020-05-29;232248;1754764;173491;182922;11441
2020-05-30;232664;1779214;181827;183189;11468
2020-05-31;232997;1799124;190609;183410;11503
2020-06-01;233197;1816479;198370;183594;11541
2020-06-02;233515;1837374;207191;183879;11590
2020-06-03;233836;1857332;216824;184121;11629
2020-06-04;234013;1878683;226713;184472;11668
2020-06-05;234531;1903907;236184;184924;11719
2020-06-06;234801;1926639;246622;185450;11776
2020-06-07;234998;1944370;257486;185750;11814
2020-06-08;235278;1961785;265928;186109;11852
2020-06-09;235561;1979912;276146;186506;11902
2020-06-10;235763;2000706;286605;186522;11947
2020-06-11;236142;2023656;297535;186691;12003
2020-06-12;236305;2048986;308993;187226;12051
2020-06-13;236651;2074542;320922;187267;12085
2020-06-14;236989;2094366;332424;187518;12121
2020-06-15;237290;2114026;343091;187682;12155
2020-06-16;237500;2137731;354065;188252;12198
2020-06-17;237828;2163290;366946;188604;12257
2020-06-18;238159;2191099;380532;189817;12306
2020-06-19;238011;2222579;395048;190299;12373
2020-06-20;238275;2255328;410451;190670;12421
2020-06-21;238499;2281767;425282;191272;12438
2020-06-22;238720;2312303;440215;191768;12484
2020-06-23;238833;2347491;456183;192480;12535
2020-06-24;239410;2382426;473105;192871;12563
2020-06-25;239706;2422299;490401;193371;12602
2020-06-26;239961;2467554;508953;194036;12653
2020-06-27;240136;2510259;528859;194458;12715
2020-06-28;240310;2549864;548318;194693;12757
2020-06-29;240436;2590668;566840;195042;12800
2020-06-30;240578;2636414;585481;195418;12850
2020-07-01;240760;2687588;604641;195893;12904
2020-07-02;240961;2742049;625544;196370;12967
2020-07-03;241184;2795361;648315;196780;13030
2020-07-04;241419;2841241;673165;197198;13091
2020-07-05;241611;2891124;697413;197523;13137
2020-07-06;241819;2936077;719664;198064;13181
2020-07-07;241956;2996098;742417;198343;13244
2020-07-08;242149;3054699;767296;198699;13293
2020-07-09;242363;3117946;793802;199001;13338
2020-07-10;242639;3185737;820916;199332;13373
2020-07-11;242827;3245925;849522;199709;13417
2020-07-12;243061;3304942;878254;199919;13479
2020-07-13;243230;3364157;906752;200180;13512
2020-07-14;243344;3431574;936181;200456;13551
2020-07-15;243506;3498902;968857;200890;13612
2020-07-16;243736;3576157;1003832;201450;13672
2020-07-17;243967;3647715;1039084;202045;13711
2020-07-18;244216;3711413;1077781;202426;13745
2020-07-19;244434;3773260;1118206;202735;13771
2020-07-20;244624;3834677;1155338;203325;13816
2020-07-21;244752;3899211;1193078;203717;13879
2020-07-22;245032;3970121;1238798;204276;13938
2020-07-23;245338;4038816;1288108;204881;13979
2020-07-24;245590;4112531;1337024;205623;14092
2020-07-25;245864;4178970;1385635;206278;14150
2020-07-26;246118;4233923;1435616;206667;14175
2020-07-27;246286;4290337;1480073;207112;14203
2020-07-28;246488;4356206;1531669;207707;14251
2020-07-29;246776;4426982;1581963;208546;14269
2020-07-30;247158;4495015;1634746;209535;14305
2020-07-31;247537;4562107;1695988;210399;14336
2020-08-01;247832;4620592;1750723;211005;14366
2020-08-02;248070;4668172;1803695;211220;14389
2020-08-03;248229;4713540;1855745;212111;14423
2020-08-04;248419;4771080;1908254;212828;14456
2020-08-05;248803;4823890;1964536;214113;14499
2020-08-06;249204;4883582;2027074;215039;14519
2020-08-07;249756;4941755;2088611;216196;14562
2020-08-08;250103;4997929;2153010;216903;14598
2020-08-09;250566;5044864;2215074;217288;14626
2020-08-10;250825;5094400;2268675;218508;14660
2020-08-11;251237;5141208;2329638;219540;14714
2020-08-12;251713;5197411;2396637;220859;14770
2020-08-13;252235;5248958;2461190;222281;14873
2020-08-14;252809;5313252;2525922;223791;15039
2020-08-15;253438;5361165;2589952;224488;15318
2020-08-16;253915;5403213;2647663;225007;15515
2020-08-17;254235;5438325;2702681;226700;15761
2020-08-18;254636;5483388;2767253;228120;16058
2020-08-19;255278;5529824;2836925;229706;16346
2020-08-20;256118;5573847;2905825;231292;16670
2020-08-21;257065;5622470;2975701;233029;17002
2020-08-22;258136;5667070;3044940;233861;17399
2020-08-23;259345;5701645;3106348;234494;17665
2020-08-24;260298;5739536;3167323;236122;17945
2020-08-25;261174;5777710;3224547;237583;18265
2020-08-26;262540;5821819;3310234;239010;18706
2020-08-27;263949;5867785;3387500;240571;19077
2020-08-28;265409;5913941;3463972;242126;19400
2020-08-29;266853;5961094;3542733;242835;19699
2020-08-30;268218;5996431;3621245;243305;19947
2020-08-31;269214;6030587;3691166;244802;20182
2020-09-01;270189;6073840;3769523;246015;20449
2020-09-02;271515;6113510;3853406;247411;20644
2020-09-03;272912;6150016;3936747;248840;20842
2020-09-04;274644;6200518;4023179;250283;21010
2020-09-05;276338;6244970;4113811;251058;21177
2020-09-06;277634;6276365;4204613;251728;21296
2020-09-07;278784;6300622;4280422;253626;21432
2020-09-08;280153;6327009;4370128;254957;21588
2020-09-09;281583;6360212;4465863;256433;21743
2020-09-10;283180;6396100;4562414;258149;21919
2020-09-11;284796;6443652;4659984;259735;22055
2020-09-12;286297;6485123;4754356;260817;22176
2020-09-13;287753;6519573;4846427;261737;22285
2020-09-14;288761;6553652;4846427;263222;22391
